image_name| comment_number| comment
1.jpg| 0| A man is driving and a woman is sitting 
2.jpg| 0| A man is driving and a woman is sitting 
3.jpg| 0| A man is driving and a woman is sitting 
4.jpg| 0| A man is driving and a woman is sitting 
5.jpg| 0| A man is driving and a woman is sitting 
6.jpg| 0| A man is driving and a woman is sitting 
7.jpg| 0| A man is driving and a woman is sitting 
8.jpg| 0| A man is driving and a woman is sitting 
9.jpg| 0| A man is driving and a woman is sitting 
10.jpg| 0| a man is driving and a woman is sitting
11.jpg| 0| A woman is seated while a man is cutting her hair
12.jpg| 0| A woman is seated while a man is cutting her hair
13.jpg| 0| A woman is seated while a man is cutting her hair
14.jpg| 0| A woman is seated while a man is cutting her hair
15.jpg| 0| A woman is seated while a man is cutting her hair
16.jpg| 0| A woman is seated while a man is cutting her hair
17.jpg| 0| A woman is seated while a man is cutting her hair
18.jpg| 0| A woman is seated while a man is cutting her hair
19.jpg| 0| A woman is seated while a man is cutting her hair
