image_name|comment_number|caption
103306033.jpg| 0| A woman wearing a brown dress with a matching turban is pushing a toddler through a park in his stroller .
103306033.jpg| 1| Woman dressed in brown African attire pushing a toddler in a stroller .
103306033.jpg| 2| A woman is walking her baby with a stroller at the local park .
103306033.jpg| 3| The lady is pushing a child in a stroller .
103306033.jpg| 4| A woman pushes her baby in a stroller .
111390902.jpg| 0| Two Asian men are riding on a motorcycle in the midst of a crowd full of other motorcycle riders .
111390902.jpg| 1| Three young men , two riding a motorbike on a busy street , looking at something and smiling .
111390902.jpg| 2| Three oriental men are riding on a red moped scooter in the city with many people .
111390902.jpg| 3| A group of motorcyclist are ridding through the streets .
111390902.jpg| 4| Boys on a motor-scooter riding down a busy urban street .
12526324.jpg| 0| A child is taking a drink from a large cup with a straw being held by a woman .
12526324.jpg| 1| A toddler using a straw to drink from a paper cup in front of a McDonald 's .
12526324.jpg| 2| A woman wearing glasses helps a small boy drink out of her cup .
12526324.jpg| 3| A woman giving a blond-haired toddler a drink from a cup .
12526324.jpg| 4| Baby taking a refreshing sip
1290894194.jpg| 0| A woman crouches down next to her terrier dog to smile at a little girl sitting on the sidewalk .
1290894194.jpg| 1| a woman with a brown dog is talking to a toddler who is sat on the ground .
1290894194.jpg| 2| A woman squatting to face a small child while holding a dog .
1290894194.jpg| 3| A woman in a red top and a small dog talks to a young girl .
1290894194.jpg| 4| A woman showing a small dog to an infant
135200870.jpg| 0| A young girl standing next to a bowl holding an egg .
135200870.jpg| 1| A little girl wearing pink with a raw egg in a bowl .
135200870.jpg| 2| A sweet young lady deciding whats for breakfast !
135200870.jpg| 3| A little girl is helping make breakfast .
135200870.jpg| 4| a toddler with eggs in a bowl .
1376871596.jpg| 0| TWo people walking into a shadow in one direction while another walks in the midst of it .
1376871596.jpg| 1| A woman in a pink shirt and jean skirt walking down the street talking on her cellphone .
1376871596.jpg| 2| An older couple passes by a young lady on the sidewalk .
1376871596.jpg| 3| A young woman is silhouetted against other pedestrians .
1376871596.jpg| 4| People are walking down the street in the shadows .
1409801982.jpg| 0| A man in his white shirt uniform is standing next to a table with a basket of fruits as he talks to a lady .
1409801982.jpg| 1| A chef in white talks to guests about various tomato varieties over a display table of tomatoes and sauces .
1409801982.jpg| 2| A woman inspects a variety of fruits and vegetables on a small table .
1409801982.jpg| 3| A chef explains different varieties of Tomatoes to consumers .
1409801982.jpg| 4| A man in a white chef 's jacket presenting tomatoes .
1449163823.jpg| 0| A woman with black hair , wearing a blue shirt and orange vest working with some blue clay like material .
1449163823.jpg| 1| A woman in an orange vest and blue shirt makes blue corn tortillas .
1449163823.jpg| 2| A tan woman in an orange vest works with clay .
1449163823.jpg| 3| A woman in a blue shirt making pottery .
1449163823.jpg| 4| A woman works hard forming clay .
1469107065.jpg| 0| The tour guide wore a dark shirt and cap as he pointed out the sign listing the rules to his young passengers .
1469107065.jpg| 1| A back view of a man driving a tractor and signaling with two children as passengers at the back .
1469107065.jpg| 2| A man drives an orange tractor with two small children riding in the back of it .
1469107065.jpg| 3| A man driving a tractor pulls along two young children for a ride .
1469107065.jpg| 4| The man is driving his equipment under the archway .
15085612.jpg| 0| A man wearing a blue shirt screaming or yelling with his arms raised up in the air .
15085612.jpg| 1| Will Ferrell yelling with his arms up and his eyes closed .
15085612.jpg| 2| A man in a blue long-sleeved jacket crying out of fear .
15085612.jpg| 3| A man being airlifted to safety after being in danger .
15085612.jpg| 4| A man in a blue jacket screaming .
156246815.jpg| 0| A man wearing a white shirt and red shorts is getting ready to kick a football .
156246815.jpg| 1| A guy is getting ready to kick a football into the air .
156246815.jpg| 2| Man kicking football off tee in t-shirt and shorts
